,keywords,number_of_times_word_appeared,tf,idf,tf_idf
959,th,451,0.012349059445250677,-6.111467339502679,-0.07547087347322658
1486,an,435,0.01191095534076285,-6.075346031088684,-0.07236317525597814
857,in,385,0.010541880014238383,-5.953243334287785,-0.06275837692562627
249,on,360,0.00985734235097615,-5.886104031450156,-0.05802134255146508
478,or,356,0.009747816324854193,-5.87493073085203,-0.057267745685587
863,re,350,0.009583527285671257,-5.857933154483459,-0.05613966222363053
388,at,328,0.008981134142000493,-5.793013608384143,-0.0520278323033323
438,nd,258,0.007064428684866241,-5.552959584921617,-0.03922848697762321
1291,the,234,0.006407272528134498,-5.455321115357702,-0.03495372911458345
1429,as,230,0.006297746502012541,-5.438079308923196,-0.03424764494543783
723,et,218,0.005969168423646669,-5.384495062789089,-0.03214095790608202
806,it,217,0.00594178691711618,-5.37989735354046,-0.03196620371069466
1023,al,207,0.005667971851811286,-5.332718793265369,-0.03022570001385316
1379,to,207,0.005667971851811286,-5.332718793265369,-0.03022570001385316
830,se,203,0.00555844582568933,-5.313205979041787,-0.02953316759523241
1197,and,193,0.005284630760384436,-5.262690188904886,-0.02781137445466014
980,de,187,0.005120341721201501,-5.231108616854587,-0.026785063699017217
693,is,183,0.0050108156950795435,-5.209486152841421,-0.026103774977957343
1335,of,167,0.0045727115905917146,-5.117993812416755,-0.023403109626614776
564,lo,148,0.004052462966512418,-4.997212273764115,-0.02025101767523039
185,ing,134,0.0036691218750855674,-4.897839799950911,-0.017970771150664606
906,UDP,122,0.0033405437967196955,-4.804021044733257,-0.01604804270029455
460,ac,115,0.0031488732510062704,-4.74493212836325,-0.01494118985684329
1195,for,112,0.0030667287314148023,-4.718498871295094,-0.014470356057748981
1356,tion,109,0.0029845842118233347,-4.6913478822291435,-0.014001722821471939
418,ment,109,0.0029845842118233347,-4.6913478822291435,-0.014001722821471939
1002,net,105,0.0028750581857013772,-4.653960350157523,-0.013380406800650035
1328,po,98,0.002683387639987952,-4.584967478670572,-0.012303245062011338
870,TCP,98,0.002683387639987952,-4.584967478670572,-0.012303245062011338
1351,con,93,0.0025464801073355058,-4.532599493153256,-0.011542174443833764
937,pro,91,0.002491717094274527,-4.51085950651685,-0.011239785742258791
1014,be,79,0.002163139015908655,-4.3694478524670215,-0.0094517231276497
334,we,77,0.002108376002847677,-4.343805421853684,-0.009158375112475938
160,In,73,0.0019988499767257194,-4.290459441148391,-0.008575984754082104
868,port,71,0.001944086963664741,-4.2626798770413155,-0.008287020379232042
288,no,70,0.0019167054571342516,-4.248495242049359,-0.00814311401504491
776,work,64,0.0017524164179513156,-4.1588830833596715,-0.0072880949956194785
443,low,64,0.0017524164179513156,-4.1588830833596715,-0.0072880949956194785
373,ap,63,0.0017250349114208265,-4.143134726391533,-0.007147052045745368
194,two,63,0.0017250349114208265,-4.143134726391533,-0.007147052045745368
1147,per,56,0.0015333643657074012,-4.02535169073515,-0.006172330842013318
1020,copy,56,0.0015333643657074012,-4.02535169073515,-0.006172330842013318
727,copycat,55,0.001505982859176912,-4.007333185232471,-0.006034975087970919
1079,all,52,0.001423838339585444,-3.951243718581427,-0.005625932295562394
102,tocol,52,0.001423838339585444,-3.951243718581427,-0.005625932295562394
1228,flow,52,0.001423838339585444,-3.951243718581427,-0.005625932295562394
42,if,51,0.0013964568330549546,-3.9318256327243257,-0.005490624771198505
92,ity,48,0.0013143123134634867,-3.871201010907891,-0.005087967156528539
1221,by,46,0.0012595493004025082,-3.828641396489095,-0.004822362592439922
1075,with,44,0.0012047862873415295,-3.784189633918261,-0.004559139779644683
1483,mea,43,0.0011774047808110401,-3.7612001156935624,-0.004428454997804638
518,trans,42,0.001150023274280551,-3.7376696182833684,-0.004298407052597176
733,that,42,0.001150023274280551,-3.7376696182833684,-0.004298407052597176
889,network,41,0.0011226417677500616,-3.713572066704308,-0.004169011109632174
595,so,41,0.0011226417677500616,-3.713572066704308,-0.004169011109632174
20,are,40,0.0010952602612195723,-3.6888794541139363,-0.004040283074520343
302,proto,39,0.001067878754689083,-3.6635616461296463,-0.003912239648395613
399,IP,38,0.0010404972481585938,-3.6375861597263857,-0.003784898389135091
887,Internet,38,0.0010404972481585938,-3.6375861597263857,-0.003784898389135091
547,protocol,37,0.0010131157416281044,-3.6109179126442243,-0.00365827777902676
1391,tial,37,0.0010131157416281044,-3.6109179126442243,-0.00365827777902676
1355,com,35,0.0009583527285671258,-3.5553480614894135,-0.0034072775157342207
296,connec,33,0.0009035897155061472,-3.4965075614664802,-0.0031594082727305892
1101,bias,33,0.0009035897155061472,-3.4965075614664802,-0.0031594082727305892
392,transport,33,0.0009035897155061472,-3.4965075614664802,-0.0031594082727305892
285,surement,32,0.0008762082089756578,-3.4657359027997265,-0.003036706248174783
289,form,31,0.0008488267024451686,-3.4339872044851463,-0.0029148600350220296
877,flows,31,0.0008488267024451686,-3.4339872044851463,-0.0029148600350220296
1206,able,31,0.0008488267024451686,-3.4339872044851463,-0.0029148600350220296
1259,ms,30,0.0008214451959146792,-3.4011973816621555,-0.002793897249523963
1461,The,30,0.0008214451959146792,-3.4011973816621555,-0.002793897249523963
1070,use,28,0.0007666821828537006,-3.332204510175204,-0.002554741827576071
111,ob,28,0.0007666821828537006,-3.332204510175204,-0.002554741827576071
1463,led,28,0.0007666821828537006,-3.332204510175204,-0.002554741827576071
791,cols,28,0.0007666821828537006,-3.332204510175204,-0.002554741827576071
1361,through,28,0.0007666821828537006,-3.332204510175204,-0.002554741827576071
705,traffic,28,0.0007666821828537006,-3.332204510175204,-0.002554741827576071
423,differen,27,0.0007393006763232113,-3.295836866004329,-0.0024366144240879736
616,measure,27,0.0007393006763232113,-3.295836866004329,-0.0024366144240879736
1238,tocols,26,0.000711919169792722,-3.258096538021482,-0.002319501382452795
994,this,25,0.0006845376632622327,-3.2188758248682006,-0.0022034417354865696
34,ica,25,0.0006845376632622327,-3.2188758248682006,-0.0022034417354865696
159,pair,25,0.0006845376632622327,-3.2188758248682006,-0.0022034417354865696
837,throughput,25,0.0006845376632622327,-3.2188758248682006,-0.0022034417354865696
1344,rate,24,0.0006571561567317434,-3.1780538303479458,-0.002088477641038052
77,red,23,0.0006297746502012541,-3.1354942159291497,-0.0019746547730448358
1138,ments,22,0.0006023931436707647,-3.0910424533583156,-0.001862022780698309
586,deploy,22,0.0006023931436707647,-3.0910424533583156,-0.001862022780698309
1121,serve,22,0.0006023931436707647,-3.0910424533583156,-0.001862022780698309
1134,not,21,0.0005750116371402755,-3.044522437723423,-0.001750635831225648
1411,For,21,0.0005750116371402755,-3.044522437723423,-0.001750635831225648
603,PlanetLab,21,0.0005750116371402755,-3.044522437723423,-0.001750635831225648
219,nectivity,21,0.0005750116371402755,-3.044522437723423,-0.001750635831225648
266,Trans,20,0.0005476301306097861,-2.995732273553991,-0.0016405532562383236
1167,RTT,20,0.0005476301306097861,-2.995732273553991,-0.0016405532562383236
825,header,20,0.0005476301306097861,-2.995732273553991,-0.0016405532562383236
425,perform,20,0.0005476301306097861,-2.995732273553991,-0.0016405532562383236
10,node,19,0.0005202486240792969,-2.9444389791664407,-0.0015318403275967902
1456,new,19,0.0005202486240792969,-2.9444389791664407,-0.0015318403275967902
21,measurement,19,0.0005202486240792969,-2.9444389791664407,-0.0015318403275967902
378,protocols,19,0.0005202486240792969,-2.9444389791664407,-0.0015318403275967902
15,different,19,0.0005202486240792969,-2.9444389791664407,-0.0015318403275967902
1389,We,18,0.0004928671175488075,-2.890371757896165,-0.0014245691969587625
114,This,18,0.0004928671175488075,-2.890371757896165,-0.0014245691969587625
243,can,18,0.0004928671175488075,-2.890371757896165,-0.0014245691969587625
1325,encap,18,0.0004928671175488075,-2.890371757896165,-0.0014245691969587625
767,from,18,0.0004928671175488075,-2.890371757896165,-0.0014245691969587625
1177,connectiv,18,0.0004928671175488075,-2.890371757896165,-0.0014245691969587625
1136,min,18,0.0004928671175488075,-2.890371757896165,-0.0014245691969587625
339,test,17,0.0004654856110183182,-2.833213344056216,-0.0013188200446032604
1401,see,17,0.0004654856110183182,-2.833213344056216,-0.0013188200446032604
381,both,17,0.0004654856110183182,-2.833213344056216,-0.0013188200446032604
1482,control,17,0.0004654856110183182,-2.833213344056216,-0.0013188200446032604
1271,works,17,0.0004654856110183182,-2.833213344056216,-0.0013188200446032604
85,connectivity,17,0.0004654856110183182,-2.833213344056216,-0.0013188200446032604
1008,cess,17,0.0004654856110183182,-2.833213344056216,-0.0013188200446032604
760,client,17,0.0004654856110183182,-2.833213344056216,-0.0013188200446032604
51,tun,17,0.0004654856110183182,-2.833213344056216,-0.0013188200446032604
1222,DO,16,0.0004381041044878289,-2.772588722239781,-0.001214682499269913
280,formance,16,0.0004381041044878289,-2.772588722239781,-0.001214682499269913
281,v6,16,0.0004381041044878289,-2.772588722239781,-0.001214682499269913
1491,here,16,0.0004381041044878289,-2.772588722239781,-0.001214682499269913
684,ering,16,0.0004381041044878289,-2.772588722239781,-0.001214682499269913
446,between,16,0.0004381041044878289,-2.772588722239781,-0.001214682499269913
523,end,16,0.0004381041044878289,-2.772588722239781,-0.001214682499269913
1431,Fig,16,0.0004381041044878289,-2.772588722239781,-0.001214682499269913
640,rd,16,0.0004381041044878289,-2.772588722239781,-0.001214682499269913
746,based,16,0.0004381041044878289,-2.772588722239781,-0.001214682499269913
758,server,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
1187,treatment,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
301,IPv6,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
1323,but,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
327,provide,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
1250,ports,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
1484,has,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
178,set,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
659,data,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
1034,over,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
176,v4,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
1085,sulation,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
1416,do,15,0.0004107225979573396,-2.70805020110221,-0.0011122574139955956
900,encapsulation,14,0.0003833410914268503,-2.639057329615259,-0.0010116591170727424
865,IPv4,14,0.0003833410914268503,-2.639057329615259,-0.0010116591170727424
694,sec,14,0.0003833410914268503,-2.639057329615259,-0.0010116591170727424
1266,QUIC,14,0.0003833410914268503,-2.639057329615259,-0.0010116591170727424
716,mean,14,0.0003833410914268503,-2.639057329615259,-0.0010116591170727424
1301,initial,14,0.0003833410914268503,-2.639057329615259,-0.0010116591170727424
1394,Ocean,14,0.0003833410914268503,-2.639057329615259,-0.0010116591170727424
1302,networks,14,0.0003833410914268503,-2.639057329615259,-0.0010116591170727424
923,Sec,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
925,ability,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
66,controlled,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
629,its,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
1068,also,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
230,value,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
234,how,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
258,impairment,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
1186,differential,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
1013,tunnel,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
807,Protocol,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
360,latency,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
726,Measure,13,0.000355959584896361,-2.5649493574615367,-0.0009130183085621964
217,line,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
1127,back,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
649,access,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
1422,headers,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
1234,Proc,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
432,one,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
1037,Measurement,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
164,performance,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
380,gestion,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
1196,Digital,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
6,Net,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
841,nodes,12,0.0003285780783658717,-2.4849066497880004,-0.0008164858519059173
276,used,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
229,case,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
605,To,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
552,packet,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
409,spec,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
309,Force,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
1214,Transport,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
62,Engi,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
645,neering,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
692,run,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
46,Task,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
151,ployment,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
845,each,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
1326,ACM,11,0.00030119657183538237,-2.3978952727983707,-0.0007222378357871382
608,limit,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
786,sent,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
400,congestion,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
402,eval,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
88,blocking,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
439,custom,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
463,ANRW,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
778,packets,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
1204,connection,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
1067,Engineering,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
466,show,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
1084,loss,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
1190,art,10,0.00027381506530489306,-2.3025850929940455,-0.0006304824876082378
220,only,9,0.00024643355877440376,-2.1972245773362196,-0.0005414698720195497
1184,NA,9,0.00024643355877440376,-2.1972245773362196,-0.0005414698720195497
784,side,9,0.00024643355877440376,-2.1972245773362196,-0.0005414698720195497
1404,than,9,0.00024643355877440376,-2.1972245773362196,-0.0005414698720195497
663,means,9,0.00024643355877440376,-2.1972245773362196,-0.0005414698720195497
766,have,9,0.00024643355877440376,-2.1972245773362196,-0.0005414698720195497
1292,mission,9,0.00024643355877440376,-2.1972245773362196,-0.0005414698720195497
597,Network,9,0.00024643355877440376,-2.1972245773362196,-0.0005414698720195497
666,deployment,9,0.00024643355877440376,-2.1972245773362196,-0.0005414698720195497
344,path,9,0.00024643355877440376,-2.1972245773362196,-0.0005414698720195497
826,As,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
1050,It,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
835,our,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
993,any,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
483,median,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
1332,Table,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
1003,advantage,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
517,July,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
511,part,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
268,approach,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
1239,No,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
604,inter,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
59,introduce,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
820,well,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
1175,DOI,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
431,Czech,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
668,HTTP,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
37,Prague,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
1387,uate,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
613,other,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
1407,size,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
1231,Republic,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
1327,too,8,0.00021905205224391445,-2.0794415416798357,-0.0004555059372262174
689,provides,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
594,teristics,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
908,middlebox,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
444,http,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
729,measurements,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
781,QoS,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
936,large,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
932,fall,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
679,RFC,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
576,measured,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
267,Data,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
768,such,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
938,link,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
982,results,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
343,tively,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
283,pairs,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
991,these,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
882,present,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
248,difference,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
75,impairments,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
1227,evaluate,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
1402,via,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
1352,testing,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
121,servers,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
1455,relative,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
1145,view,7,0.00019167054571342515,-1.9459101490553135,-0.00037297366017872437
725,throuдhput_bias,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
475,tool,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
557,full,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1430,observe,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1012,probe,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1139,countries,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
198,Different,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
17,due,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1410,layer,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1106,determine,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1285,nections,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
910,dataset,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
181,compare,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
414,Wild,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1163,experiment,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1418,less,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1198,application,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
577,available,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1257,tunneled,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
149,where,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
815,New,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1453,https,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
805,However,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
377,Figure,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1217,section,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1437,clients,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1282,KB,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1317,charac,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
251,sub,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
287,provided,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
507,shown,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
513,Work,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1376,SCTP,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
641,current,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1058,been,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1059,non,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
228,higher,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1063,Protocols,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1350,disadvantage,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
983,under,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
633,Conference,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
1341,values,6,0.00016428903918293584,-1.791759469228055,-0.00029436644164640424
852,about,5,0.00013690753265244653,-1.6094379124341003,-0.00022034417354865698
1168,consists,5,0.00013690753265244653,-1.6094379124341003,-0.00022034417354865698
